CARDINAL,DATE,NORP,ORG,GPE,PERSON,EVENT,WORK_OF_ART,MONEY,PRODUCT,PERCENT,TIME,ORDINAL,LAW,FAC,QUANTITY,LOC
 ,29th October, ,Dell Advantage/Rewards, , , , , , , , , , , , , 
 ,3 month, ,Dell, , , , , , , , , , , , , 
 ,another day, ,PLS, , , , , , , , , , , , , 
 ,nearly 3 weeks, ,https://t.co/OUzFUxgcXX, , , , , , , , , , , , , 
 ,under 2 year, ,Inspiron, , , , , , , , , , , , , 
 ,9870712701, ,Dell Inspiron 3470, , , , , , , , , , , , , 
 ,nearly two years, ,IGNORE, , , , , , , , , , , , , 
 ,monthly, ,Dell Inspiron 3525, , , , , , , , , , , , , 
 ,3660 3 months ago, ,MB, , , , , , , , , , , , , 
 ,one year back, ,TY, , , , , , , , , , , , , 
 ,one year old, ,Dell Thunderbolt, , , , , , , , , , , , , 
 ,every single day, ,Virtualization Technology, , , , , , , , , , , , , 
 ,2 years, ,Dell Technologies, , , , , , , , , , , , , 
 ,a span of 10 months, ,CC, , , , , , , , , , , , , 
 ,Today is 13th, , , , , , , , , , , , , , , 
 ,TWO YEARS, , , , , , , , , , , , , , , 
 ,each week, , , , , , , , , , , , , , , 
 ,103 days, , , , , , , , , , , , , , , 
 ,7-8 months, , , , , , , , , , , , , , , 
 ,next day, , , , , , , , , , , , , , , 
 ,15 years ago, , , , , , , , , , , , , , , 
 ,4y, , , , , , , , , , , , , , , 
 ,30 to 45 days, , , , , , , , , , , , , , , 
 ,10th November, , , , , , , , , , , , , , , 
 ,3 month old, , , , , , , , , , , , , , , 
 ,three years ago, , , , , , , , , , , , , , , 
 ,more than one month, , , , , , , , , , , , , , , 
 ,day one, , , , , , , , , , , , , , , 
 ,2 yrs ago, , , , , , , , , , , , , , , 
 ,5 long weeks, , , , , , , , , , , , , , , 
 ,this year, , , , , , , , , , , , , , , 
 ,the last 7 days, , , , , , , , , , , , , , , 
 ,2021, , , , , , , , , , , , , , , 
 ,Thanksgiving, , , , , , , , , , , , , , , 
 ,this week, , , , , , , , , , , , , , , 
 ,1994, , , , , , , , , , , , , , , 
 ,day 1, , , , , , , , , , , , , , , 
 ,"December 28, 2023", , , , , , , , , , , , , , , 
 ,2nd December, , , , , , , , , , , , , , , 
 ,Next day, , , , , , , , , , , , , , , 
 ,a month, , , , , , , , , , , , , , , 
 ,taking days, , , , , , , , , , , , , , , 
 ,a month ago, , , , , , , , , , , , , , , 
 ,days ago, , , , , , , , , , , , , , , 
 ,More than 1 month, , , , , , , , , , , , , , , 
 ,the last 12 days, , , , , , , , , , , , , , , 
 ,6th December, , , , , , , , , , , , , , , 
 ,next week, , , , , , , , , , , , , , , 
 ,4 years ago, , , , , , , , , , , , , , , 
 ,3630, , , , , , , , , , , , , , , 
 ,4 weeks, , , , , , , , , , , , , , , 
 ,Inspiron 3583, , , , , , , , , , , , , , , 
 ,december 27th, , , , , , , , , , , , , , , 
 ,10089, , , , , , , , , , , , , , , 
 ,last three days, , , , , , , , , , , , , , , 
 ,25 days, , , , , , , , , , , , , , , 
 ,3512, , , , , , , , , , , , , , , 
 ,5 days, , , , , , , , , , , , , , , 
 ,Saturday, , , , , , , , , , , , , , , 
 ,THE FIRST DAYS AFTER I PURCHASED 3/8/20, , , , , , , , , , , , , , , 
 ,last ten days, , , , , , , , , , , , , , , 
 ,days, , , , , , , , , , , , , , , 
 ,3 days, , , , , , , , , , , , , , , 
 ,Groundhog Day, , , , , , , , , , , , , , , 
 ,154796397, , , , , , , , , , , , , , , 
 ,"Wednesday, December 14", , , , , , , , , , , , , , , 
 ,a week later, , , , , , , , , , , , , , , 
 ,daily, , , , , , , , , , , , , , , 
 ,day 40, , , , , , , , , , , , , , , 
 ,3-7 days, , , , , , , , , , , , , , , 
 ,decades-old, , , , , , , , , , , , , , , 
 ,7 days, , , , , , , , , , , , , , , 
 ,just a year, , , , , , , , , , , , , , , 
 ,less than a year old, , , , , , , , , , , , , , , 
 ,157180878, , , , , , , , , , , , , , , 
 ,72 days, , , , , , , , , , , , , , , 
 ,the first day, , , , , , , , , , , , , , , 
 ,40 days old, , , , , , , , , , , , , , , 
 ,89 year old, , , , , , , , , , , , , , , 
 ,3 months, , , , , , , , , , , , , , , 
 ,31 august, , , , , , , , , , , , , , , 
 ,14/4/1988, , , , , , , , , , , , , , , 
 ,5 months, , , , , , , , , , , , , , , 
 ,May 2022, , , , , , , , , , , , , , , 
 ,the next day, , , , , , , , , , , , , , , 
 ,Tuesday, , , , , , , , , , , , , , , 
 ,Dec 23, , , , , , , , , , , , , , , 
 ,154183335, , , , , , , , , , , , , , , 
 ,60k, , , , , , , , , , , , , , , 
 ,29/12/2022, , , , , , , , , , , , , , , 
 ,6 weeks, , , , , , , , , , , , , , , 
