CARDINAL,DATE,ORG,GPE,PRODUCT,PERCENT,NORP,MONEY,TIME,ORDINAL,PERSON,QUANTITY,EVENT,LOC,FAC,WORK_OF_ART,LAW
 ,13 Jan 2023,Microsoft, ,XPS 17, , , , , , , , , , , , 
 ,16 days,customer care, ,3511 i5(silver, , , , , , , , , , , , 
 ,15 days,Croma, ,Display Manager 2, , , , , , , , , , , , 
 ,a matter of days,Reliance Digital Store, ,an XPS 15, , , , , , , , , , , , 
 ,Yet another day,cstmr, ,CompuTrace, , , , , , , , , , , , 
 ,Oct 2022,Dell Costumer Support, ,Headset, , , , , , , , , , , , 
 ,13th,delloffer, ,i7, , , , , , , , , , , , 
 ,45 days,Flipkart, ,G3 15 3500, , , , , , , , , , , , 
 ,November,Vostro, ,XPS, , , , , , , , , , , , 
 ,2 weeks,Dell India, ,Headphones, , , , , , , , , , , , 
 ,10 days,UPS, ,870, , , , , , , , , , , , 
 ,between 8 to 10th,tec support, ,windows10 oem, , , , , , , , , , , , 
 ,57 days,USA Volleyball, ,may dell Inspiron 3583, , , , , , , , , , , , 
 ,27-11-2022,Intel, ,Nayasa, , , , , , , , , , , , 
 ,past 50 days,Care ADP, ,Dell13, , , , , , , , , , , , 
 ,2 year,Alienware, ,hp, , , , , , , , , , , , 
 ,17/11,Dell Techsupport, ,AW2723DF, , , , , , , , , , , , 
 ,"November 2021,within",ePSA, ,Monitor P2422HE, , , , , , , , , , , , 
 ,19th Nov22,Lenovo, ,Vostro, , , , , , , , , , , , 
 ,Christmas,Exporte, ,dell vastro 3400, , , , , , , , , , , , 
 ,Nov 14th,Dell Outlet, ,g3, , , , , , , , , , , , 
 ,1 year old,Dell Rewards, ,NVMe, , , , , , , , , , , , 
 ,Monday,COVID, ,.NET Core, , , , , , , , , , , , 
 ,secs,LoJack, ,JC7LFL3, , , , , , , , , , , , 
 ,4/1/22,MSP, ,G7, , , , , , , , , , , , 
 ,2 week ago,Dell, ,Inspiron 3470, , , , , , , , , , , , 
 ,the holidays,alienware, ,Precision, , , , , , , , , , , , 
 ,10th November. 2022,Inspiron, ,3660, , , , , , , , , , , , 
 ,the last week,the consumer forum, ,Inspiron 5000 series i7, , , , , , , , , , , , 
 ,2 days,dis, ,g15 5511, , , , , , , , , , , , 
 ,the 7th day in a row,NVIDIA, ,Windows 11, , , , , , , , , , , , 
 ,the last 3 months,Dell Technologies, ,Wireless Keyboard and Mouse Combo, , , , , , , , , , , , 
 ,12/27,Faulty, ,3512, , , , , , , , , , , , 
 ,21 days,CC, ,XPS 9550, , , , , , , , , , , , 
 ,last week,M, ,XPS 15 9570, , , , , , , , , , , , 
 ,almost every day, , ,AW13, , , , , , , , , , , , 
 ,every 10 days, , ,Edge, , , , , , , , , , , , 
 ,1st Feb 2023, , ,G3223Q, , , , , , , , , , , , 
 ,one week, , ,the Inspiron 16 Plus, , , , , , , , , , , , 
 ,3 months old, , ,XPS 13, , , , , , , , , , , , 
 ,16th dec 2022, , ,Inspiron 3501, , , , , , , , , , , , 
 ,less than 20 days, , ,Laptop, , , , , , , , , , , , 
 ,earlier this week, , ,T440, , , , , , , , , , , , 
 ,the previous 8 days, , ,Inspiron, , , , , , , , , , , , 
 ,5 weeks later, , ,dell vostro 3510, , , , , , , , , , , , 
 ,4 month, , ,my XPS 13, , , , , , , , , , , , 
 ,nearly two years back, , ,TouchPad, , , , , , , , , , , , 
 ,the 7th day, , ,XPS 15 7590, , , , , , , , , , , , 
 ,another 2 days, , ,MB, , , , , , , , , , , , 
 ,almost one month, , ,10, , , , , , , , , , , , 
 ,April, , ,Command Update, , , , , , , , , , , , 
 ,three days, , ,Windows 10, , , , , , , , , , , , 
 ,9th December, , ,inspiron 3252, , , , , , , , , , , , 
 ,the last 3 to 4 months, , ,the JLab Play Gaming Wireless Headset, , , , , , , , , , , , 
 ,11/12/2021, , ,"Inspiron 14 5410,it", , , , , , , , , , , , 
 ,the month of March 2022, , , , , , , , , , , , , , , 
 ,21 sept, , , , , , , , , , , , , , , 
 ,last one month, , , , , , , , , , , , , , , 
 ,4yrs old, , , , , , , , , , , , , , , 
 ,"30
Years", , , , , , , , , , , , , , , 
 ,the beginning of the month, , , , , , , , , , , , , , , 
 ,months, , , , , , , , , , , , , , , 
 ,a week ago, , , , , , , , , , , , , , , 
 ,a year, , , , , , , , , , , , , , , 
 ,30-40 days(157078749, , , , , , , , , , , , , , , 
 ,30-40 days, , , , , , , , , , , , , , , 
 ,Day 6, , , , , , , , , , , , , , , 
 ,almost two months, , , , , , , , , , , , , , , 
 ,Oct 2021, , , , , , , , , , , , , , , 
 ,over a week, , , , , , , , , , , , , , , 
 ,annual, , , , , , , , , , , , , , , 
 ,"7th Nov, 2022", , , , , , , , , , , , , , , 
 ,2 day, , , , , , , , , , , , , , , 
 ,the first week, , , , , , , , , , , , , , , 
 ,the last 4 days, , , , , , , , , , , , , , , 
 ,that day, , , , , , , , , , , , , , , 
 ,21 working days, , , , , , , , , , , , , , , 
 ,only a few months, , , , , , , , , , , , , , , 
 ,the New year, , , , , , , , , , , , , , , 
 ,tomorrow, , , , , , , , , , , , , , , 
 ,more than a year, , , , , , , , , , , , , , , 
 ,Dec 21st, , , , , , , , , , , , , , , 
 ,22 Nov, , , , , , , , , , , , , , , 
 ,10 months, , , , , , , , , , , , , , , 
 ,Nov. 19th, , , , , , , , , , , , , , , 
 ,almost 3 months, , , , , , , , , , , , , , , 
 ,Dec 8, , , , , , , , , , , , , , , 
 ,yesterday, , , , , , , , , , , , , , , 
 ,next year, , , , , , , , , , , , , , , 
 ,5 days ago, , , , , , , , , , , , , , , 
 ,Dec 16, , , , , , , , , , , , , , , 
 ,last 5 year, , , , , , , , , , , , , , , 
 ,these 5 days, , , , , , , , , , , , , , , 
 ,17 Oct, , , , , , , , , , , , , , , 
 ,last 18 days, , , , , , , , , , , , , , , 
 ,5 months back, , , , , , , , , , , , , , , 
 ,7 Days, , , , , , , , , , , , , , , 
 ,Dec 9, , , , , , , , , , , , , , , 
 ,more than 2 weeks, , , , , , , , , , , , , , , 
 ,more than two days, , , , , , , , , , , , , , , 
 ,Friday, , , , , , , , , , , , , , , 
 ,each day, , , , , , , , , , , , , , , 
 ,their day, , , , , , , , , , , , , , , 
 ,5 month, , , , , , , , , , , , , , , 
 ,29th October, , , , , , , , , , , , , , , 
 ,3 month, , , , , , , , , , , , , , , 
 ,nearly 3 weeks, , , , , , , , , , , , , , , 
 ,9 Dec, , , , , , , , , , , , , , , 
 ,monthly, , , , , , , , , , , , , , , 
 ,one year back, , , , , , , , , , , , , , , 
 ,one year old, , , , , , , , , , , , , , , 
 ,every single day, , , , , , , , , , , , , , , 
 ,2 years, , , , , , , , , , , , , , , 
 ,these 5months, , , , , , , , , , , , , , , 
 ,TWO YEARS, , , , , , , , , , , , , , , 
 ,15 years ago, , , , , , , , , , , , , , , 
 ,103 days, , , , , , , , , , , , , , , 
 ,7-8 months, , , , , , , , , , , , , , , 
 ,next day, , , , , , , , , , , , , , , 
 ,30 to 45 days, , , , , , , , , , , , , , , 
 ,3 months ago.i, , , , , , , , , , , , , , , 
 ,3-yr, , , , , , , , , , , , , , , 
 ,3 month old, , , , , , , , , , , , , , , 
 ,three years ago, , , , , , , , , , , , , , , 
 ,more than one month, , , , , , , , , , , , , , , 
 ,3 months ago, , , , , , , , , , , , , , , 
 ,day one, , , , , , , , , , , , , , , 
 ,2 yrs ago, , , , , , , , , , , , , , , 
 ,5 long weeks, , , , , , , , , , , , , , , 
 ,april first week, , , , , , , , , , , , , , , 
 ,this year, , , , , , , , , , , , , , , 
 ,the last 7 days, , , , , , , , , , , , , , , 
 ,this week, , , , , , , , , , , , , , , 
 ,Thanksgiving, , , , , , , , , , , , , , , 
 ,1994, , , , , , , , , , , , , , , 
 ,almost 2mnths, , , , , , , , , , , , , , , 
 ,day 1, , , , , , , , , , , , , , , 
 ,"December 28, 2023", , , , , , , , , , , , , , , 
 ,2nd December, , , , , , , , , , , , , , , 
 ,Next day, , , , , , , , , , , , , , , 
 ,a month, , , , , , , , , , , , , , , 
 ,"31 august, 2022", , , , , , , , , , , , , , , 
 ,8th, , , , , , , , , , , , , , , 
 ,a month ago, , , , , , , , , , , , , , , 
 ,days ago, , , , , , , , , , , , , , , 
 ,Today, , , , , , , , , , , , , , , 
 ,More than 1 month, , , , , , , , , , , , , , , 
 ,the last 12 days, , , , , , , , , , , , , , , 
 ,22 dec 2022, , , , , , , , , , , , , , , 
 ,6th December, , , , , , , , , , , , , , , 
 ,4 years ago, , , , , , , , , , , , , , , 
 ,5 to 7 business days, , , , , , , , , , , , , , , 
 ,next week, , , , , , , , , , , , , , , 
 ,4 weeks, , , , , , , , , , , , , , , 
 ,december 27th, , , , , , , , , , , , , , , 
 ,last three days, , , , , , , , , , , , , , , 
 ,25 days, , , , , , , , , , , , , , , 
 ,5 days, , , , , , , , , , , , , , , 
 ,Saturday, , , , , , , , , , , , , , , 
 ,last ten days, , , , , , , , , , , , , , , 
 ,days, , , , , , , , , , , , , , , 
 ,3 days, , , , , , , , , , , , , , , 
 ,"Wednesday, December 14", , , , , , , , , , , , , , , 
 ,a week later, , , , , , , , , , , , , , , 
 ,daily, , , , , , , , , , , , , , , 
 ,day 40, , , , , , , , , , , , , , , 
 ,3-7 days, , , , , , , , , , , , , , , 
 ,day business day, , , , , , , , , , , , , , , 
 ,7 days, , , , , , , , , , , , , , , 
 ,Early Black Friday, , , , , , , , , , , , , , , 
 ,just a year, , , , , , , , , , , , , , , 
 ,20 Dec, , , , , , , , , , , , , , , 
 ,less than a year old, , , , , , , , , , , , , , , 
 ,72 days, , , , , , , , , , , , , , , 
 ,the first day, , , , , , , , , , , , , , , 
 ,past 6 months, , , , , , , , , , , , , , , 
 ,40 days old, , , , , , , , , , , , , , , 
 ,89 year old, , , , , , , , , , , , , , , 
 ,3 months, , , , , , , , , , , , , , , 
 ,24/7, , , , , , , , , , , , , , , 
 ,09/19/2022, , , , , , , , , , , , , , , 
 ,5 months, , , , , , , , , , , , , , , 
 ,May 2022, , , , , , , , , , , , , , , 
 ,23rd Dec 22, , , , , , , , , , , , , , , 
 ,the next day, , , , , , , , , , , , , , , 
 ,Tuesday, , , , , , , , , , , , , , , 
 ,Dec 23, , , , , , , , , , , , , , , 
 ,29/12/2022, , , , , , , , , , , , , , , 
 ,Nov, , , , , , , , , , , , , , , 
 ,6 weeks, , , , , , , , , , , , , , , 
