CARDINAL,DATE,ORG,GPE,PERSON,PRODUCT,NORP,ORDINAL,TIME,MONEY,QUANTITY,EVENT,FAC,LOC
253,over a month, , , , , , , , , , , , 
513,2 week ago, , , , , , , , , , , , 
410,two months ago, , , , , , , , , , , , 
428,3 months, , , , , , , , , , , , 
1454 2in1,yesterday, , , , , , , , , , , , 
381,earlier this week, , , , , , , , , , , , 
99,30, , , , , , , , , , , , 
two,October 2022, , , , , , , , , , , , 
504,3 days, , , , , , , , , , , , 
one,almost 3 months, , , , , , , , , , , , 
446,November 2021, , , , , , , , , , , , 
520,Christmas, , , , , , , , , , , , 
38,the New year, , , , , , , , , , , , 
230,Early Black Friday, , , , , , , , , , , , 
73, , , , , , , , , , , , , 
989, , , , , , , , , , , , , 
2, , , , , , , , , , , , , 
2000, , , , , , , , , , , , , 
64, , , , , , , , , , , , , 
287, , , , , , , , , , , , , 
97, , , , , , , , , , , , , 
154796397, , , , , , , , , , , , , 
One, , , , , , , , , , , , , 
591, , , , , , , , , , , , , 
74, , , , , , , , , , , , , 
1-800-288-, , , , , , , , , , , , , 
360, , , , , , , , , , , , , 
46, , , , , , , , , , , , , 
440, , , , , , , , , , , , , 
379, , , , , , , , , , , , , 
372, , , , , , , , , , , , , 
258, , , , , , , , , , , , , 
7, , , , , , , , , , , , , 
271, , , , , , , , , , , , , 
222, , , , , , , , , , , , , 
309, , , , , , , , , , , , , 
331, , , , , , , , , , , , , 
300, , , , , , , , , , , , , 
61, , , , , , , , , , , , , 
82, , , , , , , , , , , , , 
584, , , , , , , , , , , , , 
