CARDINAL,DATE,NORP,ORG,GPE,EVENT,WORK_OF_ART,PERSON,ORDINAL,MONEY,LAW,QUANTITY,TIME,PRODUCT,FAC,LOC
346,8:31A. 2nd, ,UNIVERSE, , , ,Bhiwani Haryana, , , , , , , , 
387,# 04435218656, ,IGNORE, , , ,https://t.co/lmt5DelZ5G, , , , , , , , 
533,the span of 5 months, ,💼 Planning, , , ,Ambience Mall Gurgaon, , , , , , , , 
374,7-8 months, ,TERRIBLE, , , , , , , , , , , , 
61,yesterday, ,Dell Laptop, , , , , , , , , , , , 
75,17th November, ,UNFORTUNATELY, , , , , , , , , , , , 
three,15 days, ,XPS, , , , , , , , , , , , 
595,one year, ,Dell La, , , , , , , , , , , , 
381,every few days, ,Lenovo, , , , , , , , , , , , 
269,earlier this week, ,LOL, , , , , , , , , , , , 
206,157180878, ,CC, , , , , , , , , , , , 
542,3660 3 months ago, ,Dell Service Center, , , , , , , , , , , , 
596,the other day, ,RT : 🚚 Waiting, , , , , , , , , , , , 
440,3511, ,Associates, , , , , , , , , , , , 
585,between 8 to 10th, ,Need Hire Command Please, , , , , , , , , , , , 
557,154796397, ,DM, , , , , , , , , , , , 
327,days, ,Inspiron 3511, , , , , , , , , , , , 
363,this New Year, ,LMAO, , , , , , , , , , , , 
267,last ten days, ,DPD, , , , , , , , , , , , 
285,last week, ,Dell Technical Support, , , , , , , , , , , , 
300,one year back, ,Credit Card, , , , , , , , , , , , 
4yrs,2000, ,al, , , , , , , , , , , , 
555,2022, ,Dell Inspiron 5000, , , , , , , , , , , , 
1,4 years ago, ,PLS, , , , , , , , , , , , 
5months,103 days, ,MB, , , , , , , , , , , , 
28,3 MONTHS, ,https://t.co/8YleBEnpVa, , , , , , , , , , , , 
11,less than 20 days, ,Update, , , , , , , , , , , , 
One,3 days, ,https://t.co/PKaufYSL6j, , , , , , , , , , , , 
8LLZYP3,the beginning of the month, ,Dell Authority, , , , , , , , , , , , 
249,3 month old, ,dell repair services, , , , , , , , , , , , 
82,Tuesday, ,Dell Social Media, , , , , , , , , , , , 
520,early November, ,EXCHANGE, , , , , , , , , , , , 
222,last 2 years, ,Time, , , , , , , , , , , , 
282,3 months, ,AC, , , , , , , , , , , , 
372,months, ,Reliance Digital Store, , , , , , , , , , , , 
399,the month of March 2022, ,Dell BIOS Update, , , , , , , , , , , , 
989,3510, ,HOUSE, , , , , , , , , , , , 
more than 3times,155611754, ,WhatsApp, , , , , , , , , , , , 
413,9690441107, ,Dell Technologies, , , , , , , , , , , , 
441,7 Days, ,ASAP, , , , , , , , , , , , 
16,November, ,STag, , , , , , , , , , , , 
74,4 DAYS AGO, ,H2O system, , , , , , , , , , , , 
377,10th November, ,BRO, , , , , , , , , , , , 
410,a span of 10 months, , , , , , , , , , , , , , 
577,21 working days, , , , , , , , , , , , , , 
511,5months ago, , , , , , , , , , , , , , 
427,November 2021, , , , , , , , , , , , , , 
71,Thanksgiving, , , , , , , , , , , , , , 
240,6 weeks, , , , , , , , , , , , , , 
2day,a message 4 days ago, , , , , , , , , , , , , , 
97,1454 2in1, , , , , , , , , , , , , , 
406,almost 3 months, , , , , , , , , , , , , , 
20,almost one month, , , , , , , , , , , , , , 
253,two days, , , , , , , , , , , , , , 
23,July, , , , , , , , , , , , , , 
258,2 weeks, , , , , , , , , , , , , , 
32,nearly two years, , , , , , , , , , , , , , 
428,2 yrs ago, , , , , , , , , , , , , , 
364,close to 6 months, , , , , , , , , , , , , , 
594,the New year, , , , , , , , , , , , , , 
244,these 5 days, , , , , , , , , , , , , , 
38,every single day, , , , , , , , , , , , , , 
30,december 27th, , , , , , , , , , , , , , 
513,the last 3 months, , , , , , , , , , , , , , 
415,October 2022, , , , , , , , , , , , , , 
94,next day, , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , 
90K., , , , , , , , , , , , , , , 
360, , , , , , , , , , , , , , , 
345, , , , , , , , , , , , , , , 
257, , , , , , , , , , , , , , , 
539, , , , , , , , , , , , , , , 
205, , , , , , , , , , , , , , , 
2years, , , , , , , , , , , , , , , 
287, , , , , , , , , , , , , , , 
84, , , , , , , , , , , , , , , 
2/6, , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , 
325, , , , , , , , , , , , , , , 
445, , , , , , , , , , , , , , , 
12/27, , , , , , , , , , , , , , , 
395, , , , , , , , , , , , , , , 
64, , , , , , , , , , , , , , , 
73, , , , , , , , , , , , , , , 
271, , , , , , , , , , , , , , , 
3252, , , , , , , , , , , , , , , 
99, , , , , , , , , , , , , , , 
309, , , , , , , , , , , , , , , 
230, , , , , , , , , , , , , , , 
22, , , , , , , , , , , , , , , 
66, , , , , , , , , , , , , , , 
almost 2mnths, , , , , , , , , , , , , , , 
584, , , , , , , , , , , , , , , 
9370, , , , , , , , , , , , , , , 
one, , , , , , , , , , , , , , , 
