CARDINAL,DATE,ORG,GPE,PRODUCT,PERCENT,NORP,MONEY,TIME,ORDINAL,PERSON,QUANTITY,EVENT,LOC,FAC,WORK_OF_ART,LAW
"157361629

",yesterday,Lenovo, ,3510, , , ,1 hr, , , , , , , , 
:157457938,5 to 7 business days,customer care, ,i7, , , ,between 8:30 and 8:31A. 2nd, , , , , , , , 
4-5,19th Nov22,Dell India, ,Headset, , , , , , , , , , , , 
434711418,2 week ago,Windows, ,JC7LFL3, , , , , , , , , , , , 
1,a week ago,ePSA, ,T440, , , , , , , , , , , , 
160246371,day one,Dell Service Center, ,P57f, , , , , , , , , , , , 
1454 2in1,past 10 year,Dell, ,.NET Core, , , , , , , , , , , , 
OVER 300,decades,Dell Outlet, ,a Dell XPS 13, , , , , , , , , , , , 
154796397,Nov 14th,evo, ,XPS 13 9360, , , , , , , , , , , , 
2,22 dec 2022,Vijay Sales, ,Edge, , , , , , , , , , , , 
2000,THE FIRST DAYS,Pleas, ,870, , , , , , , , , , , , 
631691580,less than 1 year old,MDOA, ,#Windows11, , , , , , , , , , , , 
 ,Oct 2022,Flipkart, ,Inspiron 15 3511 Touch Pad, , , , , , , , , , , , 
 ,3 month old,LoJack, ,Witcher3, , , , , , , , , , , , 
 ,three days,M, ,Dell13, , , , , , , , , , , , 
 ,2 years,&, ,Windows, , , , , , , , , , , , 
 ,2 day,Alienware, ,Windows 11, , , , , , , , , , , , 
 ,November,alienware, ,Task Mgr, , , , , , , , , , , , 
 ,nearly two years back,MSP, ,"Windows 11,12th Gen", , , , , , , , , , , , 
 ,fortnite,Dell La, ,inspiron 15 3000 Touchpad, , , , , , , , , , , , 
 ,5 months,Care ADP, ,XPS 13 Plus, , , , , , , , , , , , 
 ,Tuesday,PowerEdge, ,w10, , , , , , , , , , , , 
 ,15 days,dpduk, ,Purolator, , , , , , , , , , , , 
 ,3 MONTHS,Inspiron, ,5570, , , , , , , , , , , , 
 ,27-11-2022,#dell India, ,Window 11, , , , , , , , , , , , 
 ,23rd Dec 22,J K HIGH COURT, ,XPS 9550, , , , , , , , , , , , 
 ,1 month,Dell Techsupport, ,INTEL 5, , , , , , , , , , , , 
 ,Day 11,CC, ,CompuTrace, , , , , , , , , , , , 
 ,"30
Years",Dell Canada System, ,Inspiron 15, , , , , , , , , , , , 
 ,one week,Premium Support Plus, ,MB, , , , , , , , , , , , 
 ,72 days,delloffer, ,B4QTR33, , , , , , , , , , , , 
 ,next year,DPD, ,G15 5515 Ryzen 5, , , , , , , , , , , , 
 ,almost every day,Dell Computer, ,windows 11, , , , , , , , , , , , 
 ,2 months,XPS, ,TouchPad, , , , , , , , , , , , 
 ,Yesterday,Exporte, ,AW3423DW, , , , , , , , , , , , 
 ,tomorrow,Teams, ,Inspiron 3593, , , , , , , , , , , , 
 ,the last 7 days,USA Volleyball, ,Inspiron, , , , , , , , , , , , 
 ,today,SCCM, ,G3 15 3500, , , , , , , , , , , , 
 ,the day,McDonald, ,"Inspiron 14 5410,it", , , , , , , , , , , , 
 ,13th,Microsoft, ,i5-1240P., , , , , , , , , , , , 
 ,2 days,Legion, ,the Inspirion 15 3000, , , , , , , , , , , , 
 ,last one month,tec support, ,2x, , , , , , , , , , , , 
 ,57 days,DellTech, ,g15 5511, , , , , , , , , , , , 
 ,next week,PayPal, ,Inspiron 3525, , , , , , , , , , , , 
 ,every single day,flipkartsupport, ,Inspiron 16 7610, , , , , , , , , , , , 
 ,last ten days,Delloffer, ,Premium Support Plus, , , , , , , , , , , , 
 ,day 1,ARM, ,the JLab Play Gaming Wireless Headset, , , , , , , , , , , , 
 ,Dec 9,DCU, ,Inspiron 14 5420, , , , , , , , , , , , 
 ,monthly,apple, ,G7, , , , , , , , , , , , 
 ,"November 2021,within",Ram, ,#, , , , , , , , , , , , 
 ,3 months,NSIS, ,the OS Recovery Tool, , , , , , , , , , , , 
 ,over 3 months,titanfall, ,XPS, , , , , , , , , , , , 
 ,Dec 23,Dell Pro Support, ,windows 10 Pro OS 32bit, , , , , , , , , , , , 
 ,5 weeks later,Dell Technologies, ,#SupportAssist, , , , , , , , , , , , 
 ,over a month,Absolute, ,Laptop, , , , , , , , , , , , 
 ,5 month,COVID, ,Inspiron 1545, , , , , , , , , , , , 
 ,Saturday,Dell Social Media, ,3511, , , , , , , , , , , , 
 ,103 days,H2O system solutions dell, ,XPS 15 9570, , , , , , , , , , , , 
 ,more than 2 weeks,Absolute Software, ,G15 5521, , , , , , , , , , , , 
 ,2 year,Dell Authority, ,Thunderbolt, , , , , , , , , , , , 
 ,last 7 year,Enterprise Customer Care, ,windows10 oem, , , , , , , , , , , , 
 ,"7th Nov, 2022",cstmr, ,the S3422DWG DELL MONITOR, , , , , , , , , , , , 
 ,11/12/2021, , ,Precision, , , , , , , , , , , , 
 ,4/1/22, , ,XPS13, , , , , , , , , , , , 
 ,the last 12 days, , ,10, , , , , , , , , , , , 
 ,"31 august, 2022", , ,G3 15, , , , , , , , , , , , 
 ,22 Nov, , ,Chrome, , , , , , , , , , , , 
 ,first day, , ,G15, , , , , , , , , , , , 
 ,less than 20 days, , ,920H, , , , , , , , , , , , 
 ,TWO YEARS, , ,Wireless Keyboard and Mouse Combo, , , , , , , , , , , , 
 ,4yrs old, , ,AW13, , , , , , , , , , , , 
 ,2nd December, , ,XPS 15 7590, , , , , , , , , , , , 
 ,almost one month, , ,G3223Q, , , , , , , , , , , , 
 ,a month, , ,NVMe, , , , , , , , , , , , 
 ,3 month, , ,g3, , , , , , , , , , , , 
 ,7 days, , ,Latitude, , , , , , , , , , , , 
 ,that day, , ,Inspiron 5000 series i7, , , , , , , , , , , , 
 ,earlier this week, , ,vostro 7620, , , , , , , , , , , , 
 ,15 years ago, , ,XPS 13 9360 la, , , , , , , , , , , , 
 ,5 days ago, , ,3511 i5(silver, , , , , , , , , , , , 
 ,5months ago, , ,Inspiron 3470, , , , , , , , , , , , 
 ,20 Dec, , ,inspiron 3252, , , , , , , , , , , , 
 ,7-8 months, , , , , , , , , , , , , , , 
 ,a nice day, , , , , , , , , , , , , , , 
 ,between 8 to 10th, , , , , , , , , , , , , , , 
 ,the 29th Nov., , , , , , , , , , , , , , , 
 ,last 18 days, , , , , , , , , , , , , , , 
 ,17 days, , , , , , , , , , , , , , , 
 ,nearly 3 weeks, , , , , , , , , , , , , , , 
 ,12 day, , , , , , , , , , , , , , , 
 ,4 weeks, , , , , , , , , , , , , , , 
 ,past 6 months, , , , , , , , , , , , , , , 
 ,past 50 days, , , , , , , , , , , , , , , 
 ,close to 6 months, , , , , , , , , , , , , , , 
 ,days ago, , , , , , , , , , , , , , , 
 ,July, , , , , , , , , , , , , , , 
 ,"December 28, 2023", , , , , , , , , , , , , , , 
 ,the other day, , , , , , , , , , , , , , , 
 ,the last 3 months, , , , , , , , , , , , , , , 
 ,30-40 days, , , , , , , , , , , , , , , 
 ,40 days old, , , , , , , , , , , , , , , 
 ,3-7 days, , , , , , , , , , , , , , , 
 ,one month, , , , , , , , , , , , , , , 
 ,day 40, , , , , , , , , , , , , , , 
 ,december 27th, , , , , , , , , , , , , , , 
 ,2 weeks, , , , , , , , , , , , , , , 
 ,the previous 8 days, , , , , , , , , , , , , , , 
 ,the next day, , , , , , , , , , , , , , , 
 ,the beginning of the month, , , , , , , , , , , , , , , 
 ,three years ago, , , , , , , , , , , , , , , 
 ,the first day, , , , , , , , , , , , , , , 
 ,Christmas, , , , , , , , , , , , , , , 
 ,these 5 days, , , , , , , , , , , , , , , 
 ,the 16th, , , , , , , , , , , , , , , 
 ,every 10 days, , , , , , , , , , , , , , , 
 ,Dec 8, , , , , , , , , , , , , , , 
 ,5 days, , , , , , , , , , , , , , , 
 ,17 Oct, , , , , , , , , , , , , , , 
 ,more than a year, , , , , , , , , , , , , , , 
 ,almost 2mnths, , , , , , , , , , , , , , , 
 ,21 sept, , , , , , , , , , , , , , , 
 ,Blackfriday, , , , , , , , , , , , , , , 
 ,the month of March 2022, , , , , , , , , , , , , , , 
 ,40 days, , , , , , , , , , , , , , , 
 ,13-01-23, , , , , , , , , , , , , , , 
 ,April, , , , , , , , , , , , , , , 
 ,more than one month, , , , , , , , , , , , , , , 
 ,30-40 days(157078749, , , , , , , , , , , , , , , 
 ,these 5months, , , , , , , , , , , , , , , 
 ,Monday, , , , , , , , , , , , , , , 
 ,3 months old, , , , , , , , , , , , , , , 
 ,3 months ago.i, , , , , , , , , , , , , , , 
 ,20 nov, , , , , , , , , , , , , , , 
 ,9 Dec, , , , , , , , , , , , , , , 
 ,Nov, , , , , , , , , , , , , , , 
 ,3 months ago, , , , , , , , , , , , , , , 
 ,last three days, , , , , , , , , , , , , , , 
 ,16th December, , , , , , , , , , , , , , , 
 ,months, , , , , , , , , , , , , , , 
 ,21 days, , , , , , , , , , , , , , , 
 ,29/12/2022, , , , , , , , , , , , , , , 
 ,8th, , , , , , , , , , , , , , , 
 ,secs, , , , , , , , , , , , , , , 
 ,annual, , , , , , , , , , , , , , , 
 ,last year, , , , , , , , , , , , , , , 
 ,a month ago, , , , , , , , , , , , , , , 
 ,Monday to Friday, , , , , , , , , , , , , , , 
 ,a year, , , , , , , , , , , , , , , 
 ,4 years ago, , , , , , , , , , , , , , , 
 ,Friday, , , , , , , , , , , , , , , 
 ,4th Nov, , , , , , , , , , , , , , , 
 ,this week, , , , , , , , , , , , , , , 
 ,two weeks later, , , , , , , , , , , , , , , 
 ,early November, , , , , , , , , , , , , , , 
 ,the last 3 to 4 months, , , , , , , , , , , , , , , 
 ,1994, , , , , , , , , , , , , , , 
 ,13 Jan 2023, , , , , , , , , , , , , , , 
 ,2 weeks ago, , , , , , , , , , , , , , , 
 ,another 2 days, , , , , , , , , , , , , , , 
 ,each day, , , , , , , , , , , , , , , 
 ,april first week, , , , , , , , , , , , , , , 
 ,the first week, , , , , , , , , , , , , , , 
 ,1st Feb 2023, , , , , , , , , , , , , , , 
 ,2day, , , , , , , , , , , , , , , 
 ,9th December, , , , , , , , , , , , , , , 
 ,almost ten days, , , , , , , , , , , , , , , 
 ,Yet another day, , , , , , , , , , , , , , , 
 ,25 days, , , , , , , , , , , , , , , 
 ,Dec 21st, , , , , , , , , , , , , , , 
 ,4 month, , , , , , , , , , , , , , , 
 ,daily, , , , , , , , , , , , , , , 
 ,4th Dec., , , , , , , , , , , , , , , 
 ,sum days, , , , , , , , , , , , , , , 
 ,"17th November, 2022", , , , , , , , , , , , , , , 
 ,two days, , , , , , , , , , , , , , , 
 ,almost 3 months, , , , , , , , , , , , , , , 
 ,5 long weeks, , , , , , , , , , , , , , , 
 ,More than 1 month, , , , , , , , , , , , , , , 
 ,this year, , , , , , , , , , , , , , , 
 ,29th October, , , , , , , , , , , , , , , 
 ,16 days, , , , , , , , , , , , , , , 
 ,10 months, , , , , , , , , , , , , , , 
 ,2 yrs ago, , , , , , , , , , , , , , , 
 ,Day 6, , , , , , , , , , , , , , , 
 ,a matter of days, , , , , , , , , , , , , , , 
 ,26th June, , , , , , , , , , , , , , , 
 ,a day, , , , , , , , , , , , , , , 
 ,17/11, , , , , , , , , , , , , , , 
 ,January, , , , , , , , , , , , , , , 
 ,less than a year old, , , , , , , , , , , , , , , 
 ,Nov. 19th, , , , , , , , , , , , , , , 
 ,October 2022, , , , , , , , , , , , , , , 
 ,one year, , , , , , , , , , , , , , , 
 ,the past six months, , , , , , , , , , , , , , , 
 ,the 7th day, , , , , , , , , , , , , , , 
 ,just a year, , , , , , , , , , , , , , , 
 ,two months ago, , , , , , , , , , , , , , , 
 ,45 days, , , , , , , , , , , , , , , 
 ,24/7, , , , , , , , , , , , , , , 
 ,30 to 45 days, , , , , , , , , , , , , , , 
 ,May 2022, , , , , , , , , , , , , , , 
 ,12/27, , , , , , , , , , , , , , , 
 ,the last week, , , , , , , , , , , , , , , 
 ,last 5 year, , , , , , , , , , , , , , , 
 ,day business day, , , , , , , , , , , , , , , 
 ,"Wednesday, December 14", , , , , , , , , , , , , , , 
 ,Thanksgiving, , , , , , , , , , , , , , , 
 ,every few days, , , , , , , , , , , , , , , 
 ,Today, , , , , , , , , , , , , , , 
 ,their day, , , , , , , , , , , , , , , 
 ,year, , , , , , , , , , , , , , , 
 ,more than two days, , , , , , , , , , , , , , , 
 ,Almost 10 days, , , , , , , , , , , , , , , 
 ,Sunday, , , , , , , , , , , , , , , 
 ,14 Nov, , , , , , , , , , , , , , , 
 ,one year back, , , , , , , , , , , , , , , 
 ,16th dec 2022, , , , , , , , , , , , , , , 
